,domestic,uid
0,"A Class Trading Pvt., Ltd.",75
1,"A Class Trading Pvt., Ltd.",75
2,"A Class Trading Pvt., Ltd.",75
3,"A Class Trading Pvt., Ltd.",75
4,"A K Y Lanka Pvt., Ltd.",115
5,"A K Y Lanka Pvt., Ltd.",115
6,"A K Y Lanka Pvt., Ltd.",115
7,"A K Y Lanka Pvt., Ltd.",115
8,"A R Freight Care Services Pvt., Ltd.",159
9,"A R Freight Care Services Pvt., Ltd.",159
10,"A R Freight Care Services Pvt., Ltd.",159
11,"A R Freight Care Services Pvt., Ltd.",159
12,"A R Freight Care Services Pvt., Ltd.",159
13,"A R Freight Care Services Pvt., Ltd.",159
14,"A R Freight Care Services Pvt., Ltd.",159
15,"Ace International Express Pvt., Ltd.",294
16,Aero Dynamics (Pvt) Ltd.,365
17,Aero Dynamics (Pvt) Ltd.,365
18,Aero Dynamics (Pvt) Ltd.,365
19,Aero Dynamics (Pvt) Ltd.,365
20,Aero Dynamics (Pvt) Ltd.,365
21,Aero Dynamics (Pvt) Ltd.,365
22,Aero Dynamics (Pvt) Ltd.,365
23,Aero Dynamics (Pvt) Ltd.,365
24,Aero Dynamics (Pvt) Ltd.,365
25,Aero Dynamics (Pvt) Ltd.,365
26,Aero Dynamics (Pvt) Ltd.,365
27,Aero Dynamics (Pvt) Ltd.,365
28,Aero Dynamics (Pvt) Ltd.,365
29,Aero Dynamics (Pvt) Ltd.,365
30,Aero Dynamics (Pvt) Ltd.,365
31,Aero Dynamics (Pvt) Ltd.,365
32,Aero Dynamics (Pvt) Ltd.,365
33,Aero Dynamics (Pvt) Ltd.,365
34,Aero Dynamics (Pvt) Ltd.,365
35,Aero Dynamics (Pvt) Ltd.,365
36,Aero Dynamics (Pvt) Ltd.,365
37,Aero Dynamics (Pvt) Ltd.,365
38,Aero Dynamics (Pvt) Ltd.,365
39,Aero Dynamics (Pvt) Ltd.,365
40,Aero Dynamics (Pvt) Ltd.,365
41,Aero Dynamics (Pvt) Ltd.,365
42,Aero Dynamics (Pvt) Ltd.,365
43,Aero Dynamics (Pvt) Ltd.,365
44,Aero Dynamics (Pvt) Ltd.,365
45,Aero Dynamics (Pvt) Ltd.,365
46,Aero Dynamics (Pvt) Ltd.,365
47,Aero Dynamics (Pvt) Ltd.,365
48,Aero Dynamics (Pvt) Ltd.,365
49,Aero Dynamics (Pvt) Ltd.,365
50,Aero Dynamics (Pvt) Ltd.,365
51,Aero Dynamics (Pvt) Ltd.,365
52,Aero Dynamics (Pvt) Ltd.,365
53,Aero Dynamics (Pvt) Ltd.,365
54,Aero Dynamics (Pvt) Ltd.,365
55,Aero Dynamics (Pvt) Ltd.,365
56,Aero Dynamics (Pvt) Ltd.,365
57,Aero Dynamics (Pvt) Ltd.,365
58,Aero Dynamics (Pvt) Ltd.,365
59,Aero Dynamics (Pvt) Ltd.,365
60,Aero Dynamics (Pvt) Ltd.,365
61,Aero Dynamics (Pvt) Ltd.,365
62,Aero Dynamics (Pvt) Ltd.,365
63,Aero Dynamics (Pvt) Ltd.,365
64,Aero Dynamics (Pvt) Ltd.,365
65,Aero Dynamics (Pvt) Ltd.,365
66,Aero Dynamics (Pvt) Ltd.,365
67,Aero Dynamics (Pvt) Ltd.,365
68,Aero Dynamics (Pvt) Ltd.,365
69,Aero Dynamics (Pvt) Ltd.,365
70,Aero Dynamics (Pvt) Ltd.,365
71,Aero Dynamics (Pvt) Ltd.,365
72,Aero Dynamics (Pvt) Ltd.,365
73,Aero Dynamics (Pvt) Ltd.,365
74,Aero Dynamics (Pvt) Ltd.,365
75,Aero Dynamics (Pvt) Ltd.,365
76,Aero Dynamics (Pvt) Ltd.,365
